X,CH1,
Second,Volt,
2.93E-03,1.00E+00,
2.93E-03,1.01E+00,
2.93E-03,9.99E-01,
2.94E-03,1.01E+00,
2.94E-03,1.00E+00,
2.95E-03,1.00E+00,
2.96E-03,1.00E+00,
2.96E-03,1.01E+00,
2.97E-03,1.01E+00,
2.97E-03,1.02E+00,
2.97E-03,1.00E+00,
2.98E-03,1.01E+00,
2.99E-03,1.00E+00,
2.99E-03,1.01E+00,
3.00E-03,1.01E+00,
3.00E-03,1.01E+00,
3.00E-03,1.01E+00,
3.01E-03,1.01E+00,
3.02E-03,1.01E+00,
3.02E-03,1.01E+00,
3.03E-03,1.00E+00,
3.03E-03,1.00E+00,
3.03E-03,1.00E+00,
3.04E-03,1.00E+00,
3.05E-03,1.01E+00,
3.05E-03,1.01E+00,
3.06E-03,1.00E+00,
3.06E-03,1.02E+00,
3.06E-03,9.99E-01,
3.07E-03,1.01E+00,
3.08E-03,1.00E+00,
3.08E-03,1.01E+00,
3.09E-03,1.00E+00,
3.09E-03,1.00E+00,
3.09E-03,1.00E+00,
3.10E-03,1.00E+00,
3.11E-03,1.00E+00,
3.11E-03,1.00E+00,
3.12E-03,1.00E+00,
3.12E-03,1.00E+00,
3.12E-03,1.00E+00,
3.13E-03,1.01E+00,
3.14E-03,1.00E+00,
3.14E-03,1.00E+00,
3.15E-03,1.00E+00,
3.15E-03,1.00E+00,
3.15E-03,1.00E+00,
3.16E-03,1.00E+00,
3.17E-03,1.00E+00,
3.17E-03,1.00E+00,
3.18E-03,1.00E+00,
3.18E-03,1.00E+00,
3.18E-03,9.99E-01,
3.19E-03,1.01E+00,
3.20E-03,1.00E+00,
3.20E-03,1.01E+00,
3.21E-03,1.00E+00,
3.21E-03,1.01E+00,
3.21E-03,1.00E+00,
3.22E-03,1.00E+00,
3.22E-03,1.00E+00,
3.23E-03,1.00E+00,
3.24E-03,1.00E+00,
3.24E-03,1.01E+00,
3.24E-03,1.01E+00,
3.25E-03,1.00E+00,
3.25E-03,1.00E+00,
3.26E-03,1.01E+00,
3.27E-03,1.00E+00,
3.27E-03,1.00E+00,
3.27E-03,1.00E+00,
3.28E-03,1.01E+00,
3.28E-03,1.00E+00,
3.29E-03,1.01E+00,
3.30E-03,1.00E+00,
3.30E-03,1.00E+00,
3.30E-03,1.00E+00,
3.31E-03,1.00E+00,
3.31E-03,1.00E+00,
3.32E-03,1.00E+00,
3.33E-03,1.01E+00,
3.33E-03,1.00E+00,
3.33E-03,1.00E+00,
3.34E-03,1.00E+00,
3.34E-03,1.00E+00,
3.35E-03,1.00E+00,
3.36E-03,1.00E+00,
3.36E-03,1.00E+00,
3.36E-03,1.00E+00,
3.37E-03,1.00E+00,
3.37E-03,1.00E+00,
3.38E-03,1.00E+00,
